episode,timestep,reward
9,40000,-313.0499
21,80000,-141.2905
32,120000,-274.8806
42,160000,-374.4123
52,200000,-89.808
63,240000,-201.207
73,280000,-267.1319
83,320000,-332.7254
95,360000,-346.4466
105,400000,-314.0617
115,440000,-293.2824
125,480000,-473.3762
136,520000,-92.2953
146,560000,-57.4748
157,600000,-446.9051
167,640000,-296.5871
177,680000,-101.1725
188,720000,-259.7823
199,760000,-347.131
209,800000,-287.8127
221,840000,-154.7618
231,880000,-577.0567
241,920000,-249.9904
252,960000,-15.324
262,1000000,-402.925
273,1040000,-180.113
285,1080000,-125.2226
295,1120000,-284.1056
305,1160000,-191.9403
315,1200000,-161.7486
327,1240000,-72.2088
338,1280000,-199.6761
348,1320000,-5.4238
358,1360000,-268.3392
368,1400000,-416.0751
378,1440000,-273.3132
388,1480000,-186.5648
398,1520000,-151.5534
408,1560000,-145.2437
419,1600000,-443.6279
429,1640000,-155.9722
439,1680000,-145.4122
